"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"732";"L'architecture grecque";"Editions A&J Picard";"Si le premier volume d'un manuel d'architecture grecque devait nécessairement commencer par détailler les "" principes de la construction "", il paraissait tout aussi logique de présenter ensuite, dans un deuxième volume, les bâtiments universellement considérés comme les plus représentatifs de l'art grec, depuis sa redécouverte au XVIIIe siècle en Italie du Sud : il s'agit des temples et de tout ce qui leur ressemble plus ou moins sur une ou plusieurs faces, aussi bien les propylées que les autels à bordures en fronton ou les grands monuments funéraires entourés d'une colonnade. La première partie de ce livre est donc consacrée aux différents types de temples grecs, depuis la naissance de l'architecture monumentale jusqu'à l'esquisse de ses prolongements romains. En s'efforçant de montrer comment la diversité régionale n'occulte pas totalement une certaine unité d'esprit, l'étude des temples est suivie de l'analyse des autels puis de celle, plus large, des sanctuaires : sont envisagées tour à tour leur localisation, leur organisation et les multiples sortes de constructions que l'on rencontre dans ces zones bien délimitées, pour respecter la séparation, essentielle, entre le sacré et le profane, le pur et l'impur. La seconde partie, plus courte, traite des monuments funéraires : non pas les simples fosses, mais bien les constructions élaborées, où apparaissent en général des emprunts à des éléments de l'architecture religieuse. Les interprétations en sont variées, par exemple dans des façades de tombes rupestres, dans des temples-tombeaux ou encore des tombes "" macédoniennes "". Comme la première, cette partie s'intéresse aussi à la structuration de l'espace, cette fois dans les nécropoles, et dans les deux cas une place est faite à l'étude des installations hydrauliques, indispensables dans les cimetières grecs, presque autant que dans les sanctuaires.";"Architecture";"fr";"Marie-Christine Hellmann"
"733";"Le Corbusier";NA;"Parmi les constructions de l'après-guerre, les ""cités radieuses"" de Le Corbusier n'ont jamais fait l'objet d'une étude complète. Ce livre fait le point sur l'ensemble des projets conçus par l'agence de l'architecte. Il observe en détail les circonstances et les acteurs de leur création. Des années 1950 à aujourd'hui les unités d'habitation de Marseille, Rezé, Briey, Firminy ont connu des sorts très contrastés : la contestation (Marseille), l'adoption (Rezé), l'abandon (Firminy) et la démolition évitée de justesse (Briey). Elles ont cristallisé beaucoup des opinions, souvent acerbes ou subjectives dont l'architecture fut l'objet en France pendant un demi-siècle. Aujourd'hui on s'y arrache les appartements à prix d'or.";"Architecture";"fr";"Gérard Monnier"
"734";"Des fortifs au périf";NA;"Obsolète dès sa construction, sous la monarchie de Juillet, la dernière enceinte de Paris reste aujourd'hui gravée dans le paysage de la capitale. Les terrains de l'ancien rempart ont accueilli dans l'entre-deux-guerres une ceinture continue d'habitations, tandis que la zone non oedificandi recevait trente ans plus tard le serpent de béton du boulevard Périphérique. Ces deux anneaux restent présentement d'une importance stratégique dans l'aménagement de la métropole parisienne. Des controverses sur le tracé de l'enceinte de Thiers aux réflexions actuelles, l'ensemble des projets politiques et architecturaux prescrivant un avenir radieux à la ceinture de Paris attendait une restitution unitaire. Eclatés en documents multiples et introuvables, les polémiques sur la désaffectation de l'enceinte avant 1914, les projets d'architectes et de techniciens des années vingt et trente, mais aussi les politiques d'aménagement routier conduisant au Périphérique, après la Seconde Guerre mondiale, font pour la première fois, l'objet d'une présentation méthodique. Les architectures idéales et les documents opérationnels - pour la plupart inédits -, relatifs à cette chronique ne sont pas le seul témoignage des vies multiples de la ceinture, et sont confrontés aux images des peintres, des graveurs et des photographes ayant exploré les marges de Paris. De van Gogh à Atget, mais aussi de Zola à Céline, l'espace de liberté des Fortifs et de la zone n'aura manqué de révéler cette "" expérience du phénomène de la limite "" constitutive, pour Walter Benjamin, du phénomène des seuils de la ville. Une telle expérience historique reste, au demeurant, à reformuler en termes contemporains, cent soixante-dix ans après l'"" embastillement "" de Paris.";"Architecture";"fr";"Jean Louis Cohen,André Lortie"
"735";"Cahors";"Centre des monuments nationaux/Monum, Editions du Patrimoine";"Conservatoire exceptionnel de la demeure médiévale, l'ancienne capitale du Quercy illustre remarquablement la prospérité et la renaissance urbaine des XIIe, XIIIe et XIVe siècles. Après un exposé des évènements et des activités économiques, l'ouvrage s'attache à préciser la structure et l'évolution de la ville. Tandis que se développent les faubourgs, des places nouvelles sont créées au cœur de la vieille cité, l'action des consuls aboutissant à un ambitieux projet urbain dont les grandes lignes sont élaborées à la fin du XVIIIe siècle. Une grande attention est portée à la reconstitution de la demeure (maison moyenne, hôtel ou palais), fondée sur une analyse minutieuse des programmes, de la distribution, des matériaux et des techniques de construction, des équipements domestiques et des décors. Apparaît ainsi la généralisation du vocabulaire ornemental du gothique du Nord qui jalonne les progrès de l'influence française.";"Architecture";"fr";"Maurice Scellès"
"737";"Atlas de Paris au Moyen Âge";NA;"Paris - 200 000 habitants en 1300 - est la plus grande ville de l'Occident médiéval. Elle devient, au XIIIe siècle, la capitale du puissant royaume de France vers laquelle affluent commerçants et hommes d'affaires, artistes et intellectuels. La croissance sans précédent de la cité n'a pas manqué de laisser une empreinte durable : dans bien des quartiers, le tracé actuel des rues reflète les opérations de lotissement qui présidèrent à l'installation des nouveaux venus au cours du Moyen Age. Si peu d'édifices médiévaux sont aujourd'hui visibles dans leur quasi-intégrité, telles Notre-Dame ou la Sainte-Chapelle, beaucoup sont conservés de manière fragmentaire, comme le Louvre de Philippe Auguste, la salle des gens d'armes de la Conciergerie ou le réfectoire du couvent des Cordeliers. Ces vestiges - et bien d'autres - jalonnent la trame urbaine dont les aspects, changeant au fil d'un millénaire, sont restitués par les images anciennes. Entre la ville idéale rêvée par les rois et la cité grouillante aux ruelles étroites et nauséabondes, se dessine le visage du Paris médiéval.";"Architecture";"fr";"Philippe Lorentz,Dany Sandron"
"739";"Les mille et une villes de Casablanca";"www.acr-edition.com";"Casablanca est le symbole même de la vitalité du Maroc, le creuset de son destin moderne. Cet album est consacré à une rencontre avec les quatre à six millions d'âmes qui peuplent cette ville et à travers eux, à l'architecture du XVIIIe siècle à nos jours.";"Architecture";"fr";"Jean-Louis Cohen,Monique Eleb"
"740";"Voies publiques";NA;"Un autre regard sur l'espace public à Paris : le vide et le plein ; espaces invisibles (publics) ; naissance d'un espace public ; variations sur l'haussmanisme ; métamorphoses de l'espace public & reconquête du centre ; la réinvention d'un espace hiérarchisé ; nouvelles pratiques, nouveaux espaces ? Un ouvrage réalisé par 32 auteurs : historiens, architectes, chercheurs, paysagistes, urbanistes ; avec 800 illustrations, l'histoire illustrée du mobilier urbain et des législations de l'espace public parisien depuis le Ier siècle jusqu'à nos jours en 200 dates, mais aussi 35 espaces publics exemplaires analysés ; 7 métropoles internationales étudiées";"Architecture";"fr";"Simon Texier,Pavillon de l'Arsenal (Paris, France)"
"742";"La Fortification Demonstree Et Reduicte En Art";"Hachette Livre - Bnf";"La fortification demonstree et reduicte en art / par feu J. Errard, ...; reveue, corr. et augm. par A. Errard, son nepveu... suivant les memoires de l'autheur, contre les grandes erreurs de l'impression contrefaicte en Allemaigne...Date de l'edition originale: 1622Sujet de l'ouvrage: Fortifications -- Ouvrages avant 1800Ce livre est la reproduction fidele d'une oeuvre publiee avant 1920 et fait partie d'une collection de livres reimprimes a la demande editee par Hachette Livre, dans le cadre d'un partenariat avec la Bibliotheque nationale de France, offrant l'opportunite d'acceder a des ouvrages anciens et souvent rares issus des fonds patrimoniaux de la BnF.Les oeuvres faisant partie de cette collection ont ete numerisees par la BnF et sont presentes sur Gallica, sa bibliotheque numerique.En entreprenant de redonner vie a ces ouvrages au travers d'une collection de livres reimprimes a la demande, nous leur donnons la possibilite de rencontrer un public elargi et participons a la transmission de connaissances et de savoirs parfois difficilement accessibles.Nous avons cherche a concilier la reproduction fidele d'un livre ancien a partir de sa version numerisee avec le souci d'un confort de lecture optimal. Nous esperons que les ouvrages de cette nouvelle collection vous apporteront entiere satisfaction.Pour plus d'informations, rendez-vous sur www.hachettebnf.frhttp: //gallica.bnf.fr/ark: /12148/bpt6k85639h";"Architecture";"fr";"Jean Errard"
"743";"Les soleils du baroque";NA;"Cet outil de référence sur le baroque méditerranéen s'attache à trois grandes civilisations du baroque : Rome et son rayonnement transalpin, l'Espagne et le monde hispanique et le Portugal et le monde lusophone.";"Architecture";"fr";"Edouard Pommier"
"747";"Le Corbusier";"Editions Assouline";"Le Corbusier est l'architecte du siècle. Sa constante attention au mode de vie de ses contemporains et sa dimension d'artiste le distinguent des autres maîtres et font son génie. Dans les années trente, il construit les célèbres Villas puristes, véritables maisons-sculptures, aujourd'hui encore fascinantes. Il invente le confort et l'espace dans les cellules des Unités d'habitation, sortes de ""cités radieuses"" souvent décriées, peu souvent égalées. Il donne ses lettres de noblesse au béton. Il réalise une chapelle émouvante comme une cathédrale, une cabane plus que parfaite, et jusqu'à une ville entière, au nord de l'Inde. Architecte pragmatique et visionnaire, Le Corbusier a bouleversé notre époque par son œuvre immense et protéiforme, dont s'inspire encore notre quotidien.";"Architecture";"fr";"Élisabeth Vedrenne"
"748";"Le Corbusier, le passé à réaction poétique";NA;"Nombreux extraits des textes de Le Corbusier, dont bonne partie en rapport avec la période chaux-de-fonnière et ses voyages (Italie, Allemagne, Orient).";"Architecture";"fr";""
"753";"Territoires";"Birkhauser Architecture";"L agence TER a ete fondee en 1986 par trois paysagistes, Henri Bava, Michel Hoessler et Olivier Philippe. Pour eux, le sol est un materiau en soi: il obeit aux lois de la nature, conduit l eau, il est constitue de couches multiples et faconne des horizons. Mais il est aussi depositaire d une histoire, genere une culture, il est porteur de sens et cree de l espace. Les partenaires de l agence decryptent ce qui est cache derriere cette notion de sol et nous livrent des reflexions autour de l identite des environnements de vie. On leur doit entre autres le parc -Aqua Magica- dans le cadre de l exposition horticole a la frontiere entre Bad Oeynhausen et Lohne en Westphalie, fonde sur le concept de sources souterraines; le plan de developpement des communes de la region urbaine -Ile de Cayenne- en Guyane francaise, dont la logique decoule des processus d envasement et de sedimentation, d hydrologie et d infrastructure. Les partenaires de l agence TER travaillent sur le territoire avec l approche de l ingenieur qui transforme des paysages a partir d une eco-logique inherente au lieu et avec la sensibilite de l architecte paysagiste qui amenage les terres a l attention des hommes. L ouvrage a ete ecrit en collaboration avec Lisa Diedrich, redactrice en chef des revues Fieldwork et scape.""";"Architecture";"fr";"Henri Bava,Michel Hoessler,Olivier Philippe,Agence Ter,Lisa Diedrich"
